pwacc,name,pwtype,category,url,source,srcid,externalid,extid,taxid,taxname,core,cids,geneids,protacxns,pmids,ecs,annotation
Reactome:R-MMU-69306,DNA Replication,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-69306,Reactome,3,R-MMU-69306,R-MMU-69306,10090,Mus musculus (house mouse),0,1778309|3681305|5461108|7058055|7058165|11988283|15938965|25244665|25320183|135398598|135398630,12544|12545|12566|16211|16881|16912|16913|17215|17216|17217|17218|17219|17220|17222|17463|18392|18393|18538|18968|18969|18971|18972|18973|18974|19075|19076|19166|19167|19170|19171|19172|19173|19175|19177|19179|19181|19182|19184|19185|19186|19192|19687|19718|21402|21762|22123|22194|23834|23996|23997|26428|26429|26440|26441|26442|26443|26444|26445|26446|26965|27214|27401|50793|52206|52563|52717|53380|56317|56371|56438|57296|57441|59001|59008|59029|66156|66413|66440|66634|66979|66997|66998|67089|67151|67177|68240|68275|68612|68999|69077|69263|69270|69745|69957|70024|70247|72151|73677|73902|75430|77891|78833|99152|103554|106344|109145|216080|217232|228769|272551|327762|621823|100041230,A2A6Q5|O09061|O35226|O35593|O35654|O35955|O54956|O55234|O70435|O88513|O88685|O88708|O89033|P14685|P17918|P20664|P25206|P26516|P28063|P28076|P33609|P33610|P33611|P35601|P37913|P39749|P46471|P49717|P49718|P49722|P52431|P52482|P53995|P54775|P60007|P61080|P61290|P62192|P62196|P62334|P62806|P62878|P70168|P70195|P97310|P97311|P97371|P97372|P97377|P99026|Q0VBD2|Q3TXS7|Q5SSW2|Q60692|Q60862|Q61881|Q62193|Q6ZQJ5|Q8BG32|Q8BG41|Q8BGZ4|Q8BHL8|Q8BJY1|Q8BTZ4|Q8BZQ7|Q8K2H6|Q8R323|Q8R349|Q8R4E9|Q8VDM4|Q8VEE4|Q91W96|Q921J4|Q99J62|Q99JI4|Q99JP4|Q99LZ3|Q9CPV2|Q9CPX9|Q9CQ36|Q9CQ71|Q9CR00|Q9CWH6|Q9CWP8|Q9CWV1|Q9CX56|Q9CY94|Q9CZ15|Q9D0F6|Q9D1C1|Q9D600|Q9D8W5|Q9EQ28|Q9JK30|Q9JKP7|Q9QUM9|Q9QZ41|Q9R1K5|Q9R1P0|Q9R1P1|Q9R1P3|Q9R1P4|Q9WTX5|Q9WTX6|Q9WUJ8|Q9WUK4|Q9WUV0|Q9WVF7|Q9WVJ2|Q9WVM3|Q9Z0H0|Q9Z0Z3|Q9Z1N2|Q9Z1X9|Q9Z2U0|Q9Z2U1|Q9Z2X2,1536007|1579437|8223461|10966477|11257218|12045100,2.3.2.23|2.3.2.24|2.3.2.27|2.3.2.32|2.7.11.1|2.7.11.22|2.7.7.102|2.7.7.7|3.1.-.-|3.1.11.-|3.4.19.-|3.4.25.1|3.6.4.12|6.5.1.1,NULL
Reactome:R-MMU-5696398,Nucleotide Excision Repair,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-5696398,Reactome,3,R-MMU-5696398,R-MMU-5696398,10090,Mus musculus (house mouse),0,936|962|3681305|4097574|5461108|7058055|15938971,11461|11834|12572|12848|13194|13870|13871|13872|14884|14885|15312|17420|17749|18538|19687|19718|20020|20021|20610|21399|22196|22218|22590|22591|22632|23894|26370|26572|26754|26891|26893|28000|50505|51812|56031|56249|56438|56456|56505|57905|66420|66467|66491|66671|66983|67439|67710|68058|68142|68240|68275|69241|69263|69714|69833|69920|70020|70620|71101|71991|72151|77593|93765|93836|106344|108679|170930|209357|225280|227195|231329|235134|245841|252870|319955|328572,B2RWS6|D3Z3H0|F8VPZ5|O08740|O08811|O35864|O70422|O88543|O88544|O88545|P07903|P08775|P10711|P17918|P18608|P35601|P49135|P51612|P51949|P60122|P60710|P60898|P61089|P61202|P61219|P61957|P62488|P62876|P62878|P63166|P63280|P97760|Q00899|Q03147|Q3U1J1|Q3U1J4|Q61458|Q62193|Q63871|Q64267|Q66JY2|Q69ZQ2|Q6A4J8|Q6PIJ4|Q6ZPV2|Q80US4|Q80UW8|Q8BHA0|Q8CFD5|Q8CFI7|Q8CFQ3|Q8K2X8|Q8K387|Q8R1N0|Q8R2S9|Q8R323|Q8VBV7|Q8VD76|Q8VEE4|Q923G2|Q99J62|Q99KP6|Q99L90|Q99LD4|Q99ML9|Q99PT3|Q9CQ71|Q9CXF7|Q9D0F6|Q9D2M8|Q9D479|Q9D7M8|Q9DBA9|Q9DCD2|Q9JIB4|Q9QZD4|Q9QZH3|Q9R1K9|Q9WUK4|Q9Z172|Q9Z2N8,10583946|11900249|14599765|19023283|23906714|24954209,2.3.1.-|2.3.1.48|2.3.2.-|2.3.2.23|2.3.2.27|2.3.2.32|2.7.11.22|2.7.11.23|2.7.7.6|3.1.-.-|3.4.-.-|3.4.19.12|3.6.4.-|3.6.4.12|3.6.4.13|5.2.1.8,NULL
Reactome:R-MMU-8982491,Glycogen metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-8982491,Reactome,3,R-MMU-8982491,R-MMU-8982491,10090,Mus musculus (house mouse),0,271|888|962|27854|79025|439156|439165|1778309|3681305|4097574|5461108|7058055|7058168|15938965|20056717|21604864,12315|14387|14936|18679|18682|19309|27357|53412|66681|68961|70974|72157|74185|102093|110094|110095|216558,F8VPN4|P07934|P0DP26|P18826|P70699|Q7TMB3|Q7TSH2|Q7TSV4|Q8BWJ3|Q8CAA7|Q91ZJ5|Q9D0F9|Q9D6Y9|Q9DB30|Q9ET01|Q9R062|Q9WUB3|Q9Z1E4,183599|4320262|5264799|9806880|18651836|22248338,2.4.1.1|2.4.1.11|2.4.1.18|2.4.1.186|2.7.1.106|2.7.11.1|2.7.11.19|2.7.11.26|2.7.7.9|3.2.1.20|5.4.2.2|5.4.2.7,NULL
Reactome:R-MMU-70263,Gluconeogenesis,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-70263,Reactome,3,R-MMU-70263,R-MMU-70263,10090,Mus musculus (house mouse),0,280|311|888|962|970|1038|27854|79025|107735|164533|171548|222656|3674425|3681305|4643300|5460294|5460299|5460765|5461108|7058055|15938965|15938971|21604863|21604864|21604869|24794350|25245548|40467846|45266541|46878409|135398618|135398632,11674|11676|13358|13807|13808|14120|14121|14377|14378|14433|14447|14718|14719|14751|17448|17449|18534|18648|18655|18663|21991|27376|56012|67863|68401|74551|230163|433182,A0A1L1SUI3|O70250|P05063|P05064|P05201|P05202|P06745|P08249|P09041|P09411|P14152|P16858|P17182|P17183|P17751|P21550|P35576|P70695|Q05920|Q64467|Q6NSQ9|Q8BH04|Q8JZU2|Q91Y97|Q9CR62|Q9DBJ1|Q9QXD6|Q9QZD8|Q9Z186|Q9Z2V4,8379904,1.1.1.37|1.2.1.12|2.6.1.1|2.6.1.3|2.6.1.7|2.6.99.-|2.7.11.-|2.7.2.3|3.1.3.11|3.1.3.9|4.1.1.32|4.1.2.13|4.2.1.11|4.2.3.3|5.3.1.1|5.3.1.9|5.4.2.11|5.4.2.4|6.4.1.1,NULL
Reactome:R-MMU-70171,Glycolysis,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-70171,Reactome,3,R-MMU-70171,R-MMU-70171,10090,Mus musculus (house mouse),0,223|311|813|888|962|1038|6076|65246|79025|82400|105021|107735|152306|439217|3674425|3681305|4643300|5460765|5461108|7058055|9548671|15938965|15938971|21604863|21604864|21604869|24794350|25245548|40467846|45266541|46878409,11674|11676|12183|13807|13808|14433|14447|14751|18141|18226|18639|18640|18641|18642|18648|18655|18663|18746|19069|19386|21991|26384|54563|56012|56421|59015|66679|67980|69482|69736|69912|70974|71805|71844|72124|72141|72787|103468|107939|108989|110379|170762|223921|227699|227720|230163|231042|231103|234865|269113|269966|270198|433182|445007,A0A0J9YUD5|A7UAK5|E9Q3G8|F6ZDS4|O70250|O88958|P05063|P05064|P06745|P09041|P09411|P12382|P15327|P16858|P17182|P17183|P17751|P21550|P47857|P52480|P52792-1|P53657-2|P58742|P59235|P70265|P70266|Q63850|Q64467|Q6DTY7|Q6PFD9|Q6ZQH8|Q80U93|Q8BH74|Q8BJ71|Q8BTS4|Q8C570|Q8CAA7|Q8CEC0|Q8CIC2|Q8K3Z9|Q8R0G9|Q8R2U0|Q8R332|Q8R480|Q8R4R6|Q8VCB1|Q8VDL4|Q91X44|Q91Y97|Q99P88|Q9CRC9|Q9CWU9|Q9D1M0|Q9DBJ1|Q9ERU9|Q9JIH2|Q9QY81|Q9WUA3|Q9Z0W3,16051738,1.2.1.12|2.3.2.-|2.6.99.-|2.7.1.105|2.7.1.106|2.7.1.11|2.7.1.147|2.7.1.40|2.7.2.3|3.1.3.46|3.4.21.-|3.5.99.6|4.1.2.13|4.2.1.11|4.2.3.3|5.3.1.1|5.3.1.9|5.4.2.11|5.4.2.4,NULL
Reactome:R-MMU-5653890,Lactose synthesis,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-5653890,Reactome,3,R-MMU-5653890,R-MMU-5653890,10090,Mus musculus (house mouse),0,27854|79025|440995|6857410|20056717,14595|16770|20525,P15535|P17809|P29752,806951,2.4.1.-|2.4.1.22|2.4.1.275|2.4.1.38|2.4.1.90,NULL
Reactome:R-MMU-71336,Pentose phosphate pathway,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-71336,Reactome,3,R-MMU-71336,R-MMU-71336,10090,Mus musculus (house mouse),0,177|280|888|962|1038|5779|150629|165007|439184|439452|3681305|5459820|5459862|5459869|5459879|5460448|5461108|7058055|15938963|15938965|15938972|15983949|20848918|21604863|21604864|22848660|23615443|24794349|24794350|25320183,14381|19139|19895|21351|21881|66171|66681|71336|74637|110208|110639|232449,P40142|P47968|Q00612|Q7TSV4|Q8R1Q9|Q91YP3|Q93092|Q9CQ60|Q9CS42|Q9D5J6|Q9D7G0|Q9DCD0,3790084|5666113|18987987,1.1.1.44|1.1.1.49|2.2.1.1|2.2.1.2|2.7.1.14|2.7.1.15|2.7.6.1|3.1.1.31|4.1.2.4|5.3.1.6|5.4.2.2|5.4.2.7,NULL
Reactome:R-MMU-1483249,Inositol phosphate metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-1483249,Reactome,3,R-MMU-1483249,R-MMU-1483249,10090,Mus musculus (house mouse),0,271|888|890|892|962|977|1038|5958|27284|107737|107758|121920|121969|127296|128419|439444|439455|439456|439468|440043|440194|440211|440388|443247|443266|3081055|3681305|5461108|7058055|15938971|25245205|45479489|53380302|53477671|53477675,12315|16329|17330|18795|18796|18797|18799|18802|18803|19211|56409|56727|69718|71207|71780|72469|74055|75678|104759|114875|217837|228550|233011|234779|269437|269615,A2AP18|A3KGF7|B2RXC2|O08586|P0DP26|P49442|P51432|Q4KWH5|Q62077|Q6P1C1|Q7TS72|Q7TT16|Q8BG07|Q8BYN3|Q8CIH5|Q8K2J0|Q8K3R3|Q8K4D7|Q8K4S1|Q8R071|Q8R2U6|Q8R3B1|Q91UZ1|Q9JHU9|Q9JI46|Q9QXN5|Q9Z1B3|Q9Z2L6,11331907|16781889|17943301|20359876|20414202,1.13.99.1|2.7.1.127|2.7.1.134|2.7.1.140|2.7.1.151|2.7.1.153|2.7.1.158|2.7.1.159|3.1.16.1|3.1.3.16|3.1.3.48|3.1.3.57|3.1.3.62|3.1.3.67|3.1.3.80|3.1.4.11|3.6.1.-|3.6.1.52|5.5.1.4,NULL
